OrderID,OrderDate,Year,Month,Quarter,Season,CustomerID,Gender,Segment,Region,Country,Category,Sub_Category,ProductName,Unit_Price,Quantity,Discount,Revenue,Cost,Profit,Profit_Margin_%,Shipping_Cost,Shipping_Method,Shipping_Days,Payment_Method,Order_Status
ORD-000001,1/18/2023,2023,1,Q1,Winter,CUST-02791,Male,New,North America,Mexico,Electronics,Smartphones,Xiaomi 13,520,7,0%,3643,2444,1199,32.91,2,Economy,4,Google Pay,Delivered
ORD-000002,11/13/2023,2023,11,Q4,Fall,CUST-02763,Female,Regular,North America,USA,Books & Media,Books,Thinking Fast and Slow,23,2,25%,34,28,6,16.41,5,Economy,5,Credit Card,Delivered
ORD-000003,4/28/2022,2022,4,Q2,Spring,CUST-05729,Male,Regular,North America,Canada,Electronics,Headphones,Bose QC45,241,1,0%,241,161,80,33.11,13,Standard,8,Credit Card,Processing
ORD-000004,10/22/2021,2021,10,Q4,Fall,CUST-06490,Female,Regular,Asia,Japan,Clothing,Women's Wear,Summer Dress,131,5,0%,655,369,285,43.6,31,Express,16,Google Pay,Processing
ORD-000005,8/6/2023,2023,8,Q3,Summer,CUST-07594,Female,Premium,Europe,France,Clothing,Footwear,Adidas Ultraboost,75,3,20%,179,119,60,33.63,8,Standard,5,Debit Card,Delivered
ORD-000006,6/25/2021,2021,6,Q2,Summer,CUST-07119,Female,New,Asia,China,Clothing,Footwear,Puma Running Shoes,82,8,25%,491,373,119,24.17,57,Overnight,18,Apple Pay,Delivered
ORD-000007,2/7/2024,2024,2,Q1,Winter,CUST-04126,Female,New,Europe,Germany,Clothing,Men's Wear,Chino Pants,67,1,0%,67,47,19,29.17,7,Economy,11,Debit Card,Returned
ORD-000008,6/5/2022,2022,6,Q2,Summer,CUST-06895,Female,New,Middle East,Jordan,Electronics,Smartphones,Google Pixel 7,976,1,50%,488,539,-51,-10.41,34,Express,18,Cash on Delivery,Delivered
ORD-000009,11/5/2022,2022,11,Q4,Fall,CUST-01004,Female,VIP,Europe,France,Books & Media,Books,Deep Work,35,2,30%,49,45,5,9.63,36,Express,13,Credit Card,Delivered
ORD-000010,3/14/2023,2023,3,Q1,Spring,CUST-02051,Female,New,North America,Mexico,Home & Kitchen,Furniture,Bookshelf 5-Tier,110,1,40%,66,81,-15,-22.36,9,Economy,5,PayPal,Delivered
ORD-000011,8/14/2023,2023,8,Q3,Summer,CUST-01991,Male,Regular,Asia,Japan,Books & Media,Software,Microsoft Office 365,234,1,5%,222,155,67,30.12,9,Economy,24,Credit Card,Delivered
ORD-000012,10/23/2022,2022,10,Q4,Fall,CUST-01580,Male,Regular,North America,USA,Electronics,Laptops,ASUS ZenBook,1018,2,0%,2037,1349,688,33.76,19,Standard,8,Bank Transfer,Returned
ORD-000013,4/5/2023,2023,4,Q2,Spring,CUST-06398,Female,Premium,Europe,Italy,Clothing,Footwear,Adidas Ultraboost,159,4,40%,380,395,-15,-3.81,4,Economy,6,Apple Pay,Delivered
ORD-000014,6/30/2022,2022,6,Q2,Summer,CUST-02148,Female,Regular,North America,USA,Beauty & Health,Skincare,Vitamin C Serum,15,2,15%,25,21,5,18.78,26,Express,10,Debit Card,Returned
ORD-000015,7/30/2023,2023,7,Q3,Summer,CUST-04943,Male,Premium,North America,USA,Clothing,Men's Wear,Hoodie Sweatshirt,100,1,30%,70,48,22,31.52,25,Express,10,Credit Card,Delivered
ORD-000016,8/11/2023,2023,8,Q3,Summer,CUST-05744,Male,Premium,Asia,China,Beauty & Health,Skincare,Retinol Night Cream,31,1,25%,23,17,7,28.58,29,Express,11,Credit Card,Delivered
ORD-000017,11/8/2021,2021,11,Q4,Fall,CUST-04307,Male,New,North America,USA,Books & Media,Software,Photo Editing Suite,231,7,30%,1134,806,329,28.97,14,Standard,6,PayPal,Cancelled
ORD-000018,8/4/2024,2024,8,Q3,Summer,CUST-02955,Female,Premium,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,12,4,50%,25,31,-6,-25.04,40,Express,12,PayPal,Processing
ORD-000019,11/6/2022,2022,11,Q4,Fall,CUST-03859,Male,Regular,North America,USA,Home & Kitchen,Furniture,Bedside Table,563,1,0%,563,255,308,54.72,35,Express,5,Debit Card,Delivered
ORD-000020,10/8/2023,2023,10,Q4,Fall,CUST-02100,Female,Regular,North America,Mexico,Clothing,Women's Wear,Yoga Pants,111,2,40%,133,165,-32,-24.2,97,Overnight,4,Credit Card,Returned
ORD-000021,3/3/2022,2022,3,Q1,Spring,CUST-01756,Female,Regular,Middle East,Kuwait,Clothing,Women's Wear,Blouse Top,98,2,15%,166,100,66,39.87,4,Economy,7,Credit Card,Delivered
ORD-000022,8/15/2021,2021,8,Q3,Summer,CUST-05469,Male,Premium,Asia,Singapore,Home & Kitchen,Appliances,Blender Pro,74,6,25%,331,272,59,17.93,7,Standard,14,Google Pay,Returned
ORD-000023,9/14/2022,2022,9,Q3,Fall,CUST-03897,Female,New,North America,Canada,Clothing,Women's Wear,High-Waist Jeans,24,3,15%,60,51,9,15.34,40,Express,4,Bank Transfer,Delivered
ORD-000024,11/13/2022,2022,11,Q4,Fall,CUST-01885,Female,Regular,Middle East,Jordan,Clothing,Men's Wear,Slim Fit Jeans,108,2,0%,215,108,107,49.62,28,Express,18,Cash on Delivery,Returned
ORD-000025,6/23/2023,2023,6,Q2,Summer,CUST-07335,Female,Premium,Europe,Italy,Clothing,Men's Wear,Hoodie Sweatshirt,52,1,5%,49,27,22,45.58,64,Overnight,6,Bank Transfer,Returned
ORD-000026,8/13/2024,2024,8,Q3,Summer,CUST-06968,Female,Premium,Middle East,UAE,Beauty & Health,Supplements,Whey Protein 2kg,23,4,10%,81,45,36,44.05,14,Standard,12,Google Pay,Returned
ORD-000027,6/17/2024,2024,6,Q2,Summer,CUST-06441,Female,New,North America,Mexico,Electronics,Tablets,Huawei MatePad 11,331,6,0%,1983,1314,669,33.74,31,Express,4,Debit Card,Processing
ORD-000028,8/3/2023,2023,8,Q3,Summer,CUST-04105,Male,New,Middle East,Kuwait,Electronics,Headphones,JBL Tune 760NC,138,6,20%,664,454,209,31.52,26,Express,17,Google Pay,Delivered
ORD-000029,12/30/2021,2021,12,Q4,Winter,CUST-05187,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,33,1,20%,26,23,4,14.3,6,Economy,10,Bank Transfer,Delivered
ORD-000030,9/17/2021,2021,9,Q3,Fall,CUST-04892,Male,VIP,Europe,Germany,Home & Kitchen,Kitchen Tools,Storage Container Set,60,1,5%,57,39,18,31.39,21,Express,8,Apple Pay,Processing
ORD-000031,2/1/2023,2023,2,Q1,Winter,CUST-01411,Male,Regular,North America,USA,Books & Media,Books,Rich Dad Poor Dad,25,1,5%,24,12,11,47.99,4,Economy,10,Apple Pay,Delivered
ORD-000032,2/4/2024,2024,2,Q1,Winter,CUST-07880,Female,New,Asia,China,Beauty & Health,Supplements,Multivitamin Pack,55,2,30%,77,63,13,17.43,6,Economy,17,Apple Pay,Processing
ORD-000033,10/10/2022,2022,10,Q4,Fall,CUST-04137,Male,Regular,Middle East,Egypt,Clothing,Women's Wear,Maxi Skirt,28,2,10%,51,29,21,42.18,7,Standard,10,Credit Card,Delivered
ORD-000034,4/4/2022,2022,4,Q2,Spring,CUST-04907,Male,Premium,Asia,South Korea,Beauty & Health,Supplements,Collagen Peptides,45,4,0%,181,93,88,48.8,18,Standard,22,Debit Card,Delivered
ORD-000035,11/30/2021,2021,11,Q4,Fall,CUST-02045,Male,Premium,Asia,Japan,Beauty & Health,Skincare,Retinol Night Cream,28,9,20%,198,148,51,25.54,8,Economy,24,Google Pay,Cancelled
ORD-000036,12/15/2023,2023,12,Q4,Winter,CUST-03764,Female,Regular,Middle East,Jordan,Electronics,Smartphones,OnePlus 11,422,1,25%,317,213,104,32.73,61,Overnight,12,Cash on Delivery,Delivered
ORD-000037,4/1/2021,2021,4,Q2,Spring,CUST-01329,Male,Regular,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Microwave Oven,35,4,30%,99,66,33,33.48,17,Standard,17,PayPal,Delivered
ORD-000038,10/25/2023,2023,10,Q4,Fall,CUST-05963,Male,Regular,Europe,Italy,Books & Media,Books,The Psychology of Money,14,3,50%,21,20,1,3.09,88,Overnight,7,Debit Card,Delivered
ORD-000039,12/14/2023,2023,12,Q4,Winter,CUST-07965,Male,New,Europe,UK,Books & Media,Books,Deep Work,27,1,20%,22,16,6,28.87,23,Express,9,Cash on Delivery,Delivered
ORD-000040,1/2/2023,2023,1,Q1,Winter,CUST-04551,Female,VIP,Middle East,UAE,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,104,1,0%,104,63,42,39.82,9,Economy,8,Bank Transfer,Delivered
